Detector_Descriptor,1,2,3,4,5,6,7,8,9,10
AKAZE/BRIEF,0,110,116,111,109,115,129,132,137,133
AKAZE/BRISK,0,126,113,122,118,114,119,136,140,128
HARRIS/BRIEF,0,8,8,8,7,7,7,7,8,11
BRISK/BRIEF,0,138,168,134,150,153,155,162,162,149
AKAZE/FREAK,0,104,104,92,103,96,112,126,118,116
AKAZE/ORB,0,99,92,96,85,94,114,109,112,119
HARRIS/BRISK,0,7,7,7,7,6,6,6,8,11
FAST/BRIEF,0,87,102,90,101,95,98,115,108,93
BRISK/BRISK,0,144,146,134,143,144,158,141,148,163
ORB/BRISK,0,60,65,65,76,72,83,83,75,72
AKAZE/SIFT,0,135,135,130,136,137,147,148,153,151
AKAZE/AKAZE,0,127,129,125,118,124,132,137,140,145
HARRIS/FREAK,0,6,7,5,6,5,6,7,9,8
BRISK/FREAK,0,114,128,106,116,103,133,138,135,131
HARRIS/ORB,0,7,8,8,8,7,7,6,8,10
BRISK/ORB,0,105,100,92,102,90,119,116,111,117
HARRIS/SIFT,0,8,8,8,7,7,7,7,7,10
BRISK/SIFT,0,183,193,170,185,172,197,196,179,183
ORB/SIFT,0,67,79,80,81,82,95,95,94,94
FAST/BRISK,0,80,91,89,95,72,85,91,86,96
FAST/FREAK,0,68,79,60,74,61,78,83,79,84
FAST/ORB,0,96,100,91,97,91,97,105,97,98
FAST/SIFT,0,118,123,111,119,114,119,123,116,103
ORB/BRIEF,0,36,38,37,53,42,63,61,62,59
SIFT/SIFT,0,82,82,85,92,90,81,82,104,105
ORB/FREAK,0,39,33,38,41,34,40,42,40,44
ORB/ORB,0,40,53,47,56,54,65,70,65,73
SIFT/BRISK,0,57,63,59,61,55,52,55,63,73
SHITOMASI/BRIEF,0,96,93,92,89,92,94,85,91,86
SHITOMASI/BRISK,0,83,77,72,77,75,71,79,83,73
SHITOMASI/FREAK,0,68,68,69,64,63,62,61,61,63
SHITOMASI/ORB,0,87,82,86,91,84,77,84,87,89
SHITOMASI/SIFT,0,112,109,103,103,99,101,96,106,97
SIFT/BRIEF,0,63,72,65,67,52,57,72,69,84
SIFT/FREAK,0,59,63,54,62,49,50,47,54,65
