Detector_Descriptor,1,2,3,4,5,6,7,8,9,10
AKAZE/BRIEF,0,0.056,0.054,0.054,0.054,0.054,0.055,0.053,0.054,0.056
AKAZE/BRISK,0,0.08,0.077,0.076,0.077,0.078,0.078,0.077,0.077,0.074
HARRIS/BRIEF,0,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.011,0.011
BRISK/BRIEF,0,0.054,0.054,0.055,0.054,0.054,0.057,0.053,0.053,0.054
AKAZE/FREAK,0,0.078,0.077,0.081,0.079,0.077,0.075,0.077,0.08,0.076
AKAZE/ORB,0,0.06,0.059,0.059,0.062,0.059,0.064,0.062,0.059,0.06
HARRIS/BRISK,0,0.032,0.031,0.031,0.03,0.031,0.031,0.031,0.031,0.037
FAST/BRIEF,0,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002
BRISK/BRISK,0,0.075,0.075,0.076,0.077,0.077,0.076,0.075,0.078,0.077
ORB/BRISK,0,0.027,0.027,0.028,0.027,0.027,0.027,0.027,0.027,0.027
AKAZE/SIFT,0,0.068,0.068,0.067,0.069,0.073,0.068,0.07,0.068,0.068
AKAZE/AKAZE,0,0.097,0.102,0.099,0.099,0.092,0.102,0.097,0.092,0.095
HARRIS/FREAK,0,0.033,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.033
BRISK/FREAK,0,0.077,0.078,0.077,0.076,0.077,0.077,0.076,0.081,0.076
HARRIS/ORB,0,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
BRISK/ORB,0,0.062,0.062,0.061,0.062,0.062,0.063,0.061,0.062,0.061
HARRIS/SIFT,0,0.021,0.021,0.02,0.02,0.021,0.02,0.021,0.021,0.02
BRISK/SIFT,0,0.072,0.073,0.07,0.071,0.07,0.072,0.07,0.071,0.07
ORB/SIFT,0,0.029,0.03,0.03,0.03,0.03,0.031,0.032,0.033,0.031
FAST/BRISK,0,0.023,0.023,0.024,0.023,0.023,0.023,0.023,0.024,0.023
FAST/FREAK,0,0.026,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
FAST/ORB,0,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
FAST/SIFT,0,0.013,0.013,0.012,0.012,0.013,0.012,0.012,0.013,0.013
ORB/BRIEF,0,0.007,0.006,0.006,0.007,0.007,0.006,0.006,0.007,0.007
SIFT/SIFT,0,0.122,0.124,0.123,0.123,0.129,0.131,0.136,0.142,0.124
ORB/FREAK,0,0.029,0.028,0.03,0.028,0.029,0.029,0.03,0.03,0.035
ORB/ORB,0,0.015,0.015,0.014,0.015,0.015,0.015,0.016,0.015,0.015
SIFT/BRISK,0,0.099,0.089,0.089,0.092,0.095,0.096,0.099,0.099,0.099
SHITOMASI/BRIEF,0,0.011,0.011,0.011,0.011,0.012,0.017,0.011,0.011,0.011
SHITOMASI/BRISK,0,0.034,0.035,0.039,0.04,0.033,0.037,0.035,0.034,0.031
SHITOMASI/FREAK,0,0.033,0.035,0.033,0.034,0.033,0.033,0.033,0.033,0.033
SHITOMASI/ORB,0,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.012
SHITOMASI/SIFT,0,0.021,0.021,0.021,0.021,0.022,0.023,0.022,0.022,0.021
SIFT/BRIEF,0,0.069,0.073,0.07,0.072,0.07,0.074,0.075,0.074,0.076
SIFT/FREAK,0,0.096,0.094,0.098,0.093,0.092,0.092,0.095,0.102,0.102
